ISBN,avg_rating,rating_count,Book-Title,Book-Author,Year-Of-Publication,popularity_score
1593080077,9.5,2,Jane Eyre (Barnes &amp; Noble Classics),Charlotte Bronte,2003.0,19.0
1593080220,9.0,1,Howards End (Barnes &amp; Noble Classics),E. M. Forster,2003.0,9.0
1593080255,9.0,2,The Picture of Dorian Gray,Oscar Wilde,2003.0,18.0
1593080549,10.0,1,The Strange Case of Dr. Jekyll and Mr. Hyde and Other Stories (Barnes &amp; Noble Classics),Robert Lewis Stevenson,2003.0,10.0
1593080743,9.0,1,The Age of Innocence,Edith Wharton,2004.0,9.0
1593150229,7.5,2,Secrets of the Code: The Unauthorized Guide to the Mysteries Behind The Da Vinci Code,Dan Burstein,2004.0,15.0
1593160127,10.0,1,Nina: Adolescence,Amy Hassinger,2003.0,10.0
1593160151,10.0,1,"Use What You've Got, and Other Business Lessons I Learned from My Mom",Barbara Corcoran,2003.0,10.0
1594082316,10.0,1,New England Interlude,Maria Elena Morgan,2003.0,10.0
1594130051,10.0,1,The Hobbit,J. R. R. Tolkien,2003.0,10.0
1594140812,10.0,1,Becoming Maren,Africa Fine,2003.0,10.0
1594200106,7.0,2,The Shadow of the Wind,Carlos Ruiz Zafon,2004.0,14.0
1594570841,10.0,1,MacFarlane's Ridge,Patricia Deane Wigington,2003.0,10.0
1740590120,7.0,1,Lonely Planet East Coast Australia (Lonely Planet East Coast Australia),Verity Campbell,2002.0,7.0
1740590392,10.0,1,"Lonely Planet Sri Lanka (Sri Lanka, 8th ed)",Verity Campbell,2001.0,10.0
1740590651,6.0,2,Lonely Planet Australia (Lonely Planet Australia),Paul Harding,2002.0,12.0
1740591623,9.0,1,Lonely Planet Japan (Lonely Planet Japan),Chris Rowthorne,2003.0,9.0
1740592409,10.0,1,Lonely Planet Victoria (Lonely Planet Victoria),Chris Rowthorn,2002.0,10.0
1840020830,7.0,1,Britannicus,Jean Racine,1999.0,7.0
1840182709,7.0,1,Julia Roberts - Pretty Superstar,Frank Sanello,2000.0,7.0
1840224002,7.0,1,Hound of the Baskervilles,A. C. Doyle,1999.0,7.0
1840225025,5.0,1,The Night Side of Nature,Catherine Crowe,2001.0,5.0
1840385367,7.0,1,"The Encyclopedia of Aromatherapy, Massage &amp; Yoga",McGilvery,0.0,7.0
1840680113,8.0,1,Dead Brides : Vampire Tales,Edgar Allan Poe,1999.0,8.0
1841120685,10.0,1,?What If!: How to Start a Creative Revolution at Work,Dave Allan,2001.0,10.0
1841150770,8.0,2,Captain Bligh Portable,John Toohey,1999.0,16.0
1841492086,8.0,1,The Portable Door,Tom Holt,2004.0,8.0
1841721522,8.5,2,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001.0,17.0
1841763101,8.0,1,"Bussaco 1810: Wellington Defeats Napoleon's Marshals (Campaign, 97)",Rene Chartrand,2001.0,8.0
184176311X,9.0,1,Fuentes De Onoro: Wellington's Liberation of Portugal (Campaign 99),Rene Chartrand,2002.0,9.0
1841950149,8.0,1,Shella,Andrew H. Vachss,2000.0,8.0
1841950521,9.0,2,Seasons of the Heart: Haiku,Alan Spence,2000.0,18.0
1841950955,10.0,1,Misadventures,Sylvia Smith,2001.0,10.0
1841952338,7.0,2,Happiness TM (Building Business Skills),Will Ferguson,2002.0,14.0
1841952931,8.0,1,Glasgow Zen,Alan Spence,2002.0,8.0
1841952974,7.0,3,I'm Not Scared,Niccolo Ammaniti,2003.0,21.0
1841953229,6.5,2,Rembrandt's Whore: A Novel,Sylvie Matton,2003.0,13.0
1841953814,8.0,1,69 Things to Do with a Dead Princess,Stewart Home,2003.0,8.0
1841954608,7.6,5,Vernon God Little: A 21st Century Comedy in the Presence of Death,D. B. C. Pierre,2003.0,38.0
1841955469,7.0,1,Stargazing: Memoirs of a Young Lighthouse Keeper,Peter Hill,2004.0,7.0
1841955485,8.0,1,How the Light Gets in,M. J. Hyland,2004.0,8.0
1842151126,10.0,1,"Runes for Divination, Protection and Healing (Guide for Life)",Andy Baggott,2000.0,10.0
1842152130,10.0,1,Making Spells and Charms: A Practical Guide to Simple Spellweaving,Sally Morningstar,2000.0,10.0
1842157086,9.0,1,Action Origami: Over 25 Animated Paperfolding Projects,Rick Beech,2002.0,9.0
1842223739,5.0,1,New Woman,New Woman,2001.0,5.0
1842230514,7.0,3,Upside Down Inside Out,Monica McInerney,0.0,21.0
1842326627,6.0,1,Black Abbot,Edgar Wallace,2001.0,6.0
1842328506,8.0,1,The Widow,Nicolas Freeling,2001.0,8.0
1843650371,10.0,1,Treasure Island,Robert Louis Stevenson,2004.0,10.0
1844130533,5.0,1,How to Read a Church,Richard Taylor,2003.0,5.0
1844261085,8.4,5,A Book Without Covers,John Andrew Storey,2003.0,42.0
1844262553,8.411764705882353,17,Free,Paul Vincent,2003.0,143.0
1850514496,7.0,1,Collecting Art Nouveau,Philippe Garner,0.0,7.0
1851523146,7.0,1,Murder on the Menu - a Gourmet Guide to Death,Peter Haining,1993.0,7.0
1851820442,10.0,1,Navarre Bible: Acts of the Apostles (Navarre Bible: New Testament),Faculty of Theology of the University of,1998.0,10.0
1851825924,10.0,1,Character Building: A Guide for Parents and Teachers,David Isaacs,2001.0,10.0
1852301740,7.0,1,The Elements of the Chakras,Naomi Ozaniec,1991.0,7.0
1852302089,5.0,1,How to Use Homeopathy: A Comprehensive Instruction Book (Health Workbooks),Christopher Hammond,1991.0,5.0
1852304839,5.0,1,"Holy Daring: An Outrageous Gift to Modern Spirituality from Saint Teresa, the Grand Wild Woman of Avila",Tessa Bielecki,1994.0,5.0
1852305606,10.0,1,Encyclopedia of Celtic Wisdom the Celtic Shamans,Caitlin Matthews,0.0,10.0
1852427000,8.0,1,Southern Seas,Manuel Vazquez Montalban,2000.0,8.0
1852428112,5.0,1,The Sexual Life of Catherine M.,Catherine Millet,2002.0,5.0
1852700483,10.0,1,Whose Dinner,DAVID BENNET,1988.0,10.0
1852838892,5.0,1,"Thirty Years of \NME\"" Album Charts""",Roger Osborne,1993.0,5.0
1852860596,7.0,1,Star Trek Giant 3: Final Frontier,Diane Carey,1991.0,7.0
1853043427,6.0,1,Fishing Mania (The Mania Series),Nigel Foster,1994.0,6.0
1853045586,8.666666666666666,3,The Xenophobe's Guide to the French,Nick Yapp,1996.0,26.0
1853260002,8.11111111111111,9,Pride &amp; Prejudice (Wordsworth Classics),Jane Austen,1997.0,73.0
1853260010,8.88888888888889,9,Wuthering Heights (Wordsworth Classics),Emily Bronte,1997.0,80.0
1853260045,9.0,4,Great Expectations (Wordsworth Classics),Charles Dickens,1997.0,36.0
1853260053,8.75,4,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997.0,35.0
1853260096,10.0,1,Hamlet (Wordsworth Classics),William Shakespeare,1997.0,10.0
1853260150,8.428571428571429,7,Picture of Dorian Gray (Wordsworth Classics),Oscar Wilde,1997.0,59.0
1853260193,6.5,2,Vanity Fair (Wordsworth Collection),William Makepeace Thackeray,1998.0,13.0
1853260207,7.75,8,Jane Eyre (Wordsworth Classics),Charlotte Bronte,1997.0,62.0
1853260231,8.6,5,Frankenstein (Wordsworth Classics),Mary Wollstonecraft Shelley,1997.0,43.0
1853260274,8.5,2,Gulliver's Travels (Wordsworth Classics),Jonathan Swift,1997.0,17.0
1853260282,7.142857142857143,7,Emma (Wordsworth Classics),Jane Austen,1997.0,50.0
1853260312,7.5,2,"20,000 Leagues Under the Sea (Wordsworth Collection)",Jules Verne,1998.0,15.0
1853260339,8.6,5,Adventures of Sherlock Holmes (Wordsworth Collection),"Arthur Conan, Sir Doyle",1998.0,43.0
1853260363,6.8,5,Don Quixote,Miguel De Cervantes Saavedra,1997.0,34.0
1853260401,9.0,3,Three Musketeers (Wordsworth Classics),Alexandre Dumas,1997.0,27.0
185326041X,8.0,1,The Great Gatsby,F. Scott Fitzgerald,1999.0,8.0
1853260444,8.0,1,The Moonstone (Wordsworth Classics),Wilkie Collins,1997.0,8.0
1853260452,7.0,3,Robinson Crusoe (Wordsworth Classics),Daniel Defoe,1997.0,21.0
1853260495,7.0,3,The Last of the Mohicans (Wordsworth Classics),James Fenimore Cooper,1997.0,21.0
1853260584,8.0,2,Return of Sherlock Holmes (Wordsworth Classics),A. C. Doyle,1997.0,16.0
1853260614,7.0,3,Dr. Jekyll &amp; Mr. Hyde (Wordsworth Classics),Robert Louis Stevenson,1997.0,21.0
1853260622,8.333333333333334,6,War and Peace (Wordsworth Classics),Leo Tolstoy,1997.0,50.0
1853260630,6.0,1,Candide (Wordsworth Classics),Voltair,1993.0,6.0
1853260657,5.0,2,Secret Agent (Wordsworth Classics),Joseph Conrad,1997.0,10.0
1853260673,8.0,1,Far from the Madding Crowd (Wordsworth Classics),Thomas Hardy,1997.0,8.0
1853260770,8.5,2,Woman in White (Wordsworth Collection),Wilkie Collins,1998.0,17.0
1853260908,8.0,1,Around the World in Eighty Days: 5 Weeks in a Balloon (Wordsworth Classics),Jules Verne,1997.0,8.0
1853260967,6.5,2,Confessions of an English Opium Eater,T. De Quincey,1999.0,13.0
1853260975,8.333333333333334,3,Tender Is the Night,F. Scott Fitzgerald,1999.0,25.0
1853261092,8.0,1,Black Beauty (Wordsworth Collection),A. Sewell,1998.0,8.0
1853261580,9.833333333333334,6,The Little Prince (Wordsworth Collection),Antoine de Saint-Exup̩ry,1998.0,59.0
1853261750,8.333333333333334,3,Idiot (Wordsworth Collection),Fyodor Dostoyevsky,1998.0,25.0
1853261874,9.0,1,Rubaiyat of Omar Khayyam (Wordsworth Classics),O. Khayyam,1997.0,9.0
1853261912,7.333333333333333,3,Mrs. Dalloway (Wordsworth Collection),Virginia Woolf,1999.0,22.0
1853262005,7.333333333333333,3,Crime and Punishment (Wordsworth Classics),Fyodor Dostoevsky,1997.0,22.0
1853262390,9.333333333333334,3,Orlando: A Biography,Virginia Woolf,1999.0,28.0
1853262412,8.0,3,100 Selected Stories (Wordsworth Classics),O. Henry,1997.0,24.0
1853262544,5.0,1,Much Ado About Nothing (Wordsworth Collection),William Shakespeare,1998.0,5.0
1853262714,7.5,2,Anna Karenina (Wordsworth Classics),Leo Tolstoy,1997.0,15.0
1853262803,8.0,1,Napoleon of Notting Hill (Wordsworth Collection),G. K. Chesterton,1998.0,8.0
1853263508,5.0,1,DICTIONARY OF ANAGRAMS,Curl,1998.0,5.0
1853264180,9.0,1,The Works of Robert Browning,Robert Browning,1999.0,9.0
1853265535,9.0,1,Washington Square (Classics Library (NTC)),Henry James,1998.0,9.0
1853673110,4.0,1,"War on the Eastern Front: The German Soldier in Russia, 1941-1945 (Greenhill Military Paperbacks.)",James Lucas,1998.0,4.0
1853811262,6.5,2,Cats Eye,Margaret Atwood,1995.0,13.0
1853830852,6.0,1,Turn over a New Leaf: Green Cartoons for Care,Mark Bryant,1990.0,6.0
185424597X,9.0,1,The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun,Paul Hattaway,2003.0,9.0
1854790420,7.0,3,The Old Man and Mr. Smith: A fable,Peter Ustinov,1990.0,21.0
185479549X,8.0,1,The World's Stupidest Laws,David Crombie,2000.0,8.0
1854795554,9.0,1,The World's Stupidest Signs,Michael O'Mara,2000.0,9.0
1855013592,5.0,1,The Sonnets: An Illustrated Edition,William Shakespeare,1995.0,5.0
1855329816,7.0,1,"Portuguese Army of the Napoleonic Wars (2) : 1806-1815 (Men-At-Arms Series, 346)",Rene Chartrand,2000.0,7.0
1855380730,7.0,1,Dowsing: Ancient Origins and Modern Times (Paths to Inner Power),Rodney Davies,1991.0,7.0
185538292X,5.0,1,Understanding Auras: A Contemporary Overview of the Human Aura,Joseph Ostrom,1993.0,5.0
1855384620,6.0,1,Understanding Numerology: The Power to Know Anybody,D. Jason Cooper,1995.0,6.0
185566089X,5.0,1,A Companion to Catalan Literature (Monografas A),Arthur Terry,2003.0,5.0
1855681870,8.0,1,Haunted Yorkshire,W.R. Mitchell,2000.0,8.0
1855858320,8.0,2,"Detox: Cleanse and Recharge Your Mind, Body and Soul",Christina Scott-Moncrieff,2001.0,16.0
1856750663,7.0,1,Step-by-step Tai Chi (Step-by-step Guides),Master Lam Kam Chuen,1994.0,7.0
1856975770,10.0,1,The Kingfisher First Dictionary,Angela Crawley,1995.0,10.0
1857021037,3.0,1,Mortal Beings,Carl Lombard,1994.0,3.0
1857022424,7.846153846153846,13,Shipping News,E Annie Proulx,0.0,102.0
1857025539,7.0,1,Dear London: Notes from the big city,Irma Kurtz,1997.0,7.0
1857027051,7.8,5,Larrys Party,Carol Shields,0.0,39.0
1857027604,5.0,1,The Wrong Kind of Shirts 2: More Curious Quips and Accusations from the Soccer World,Mark Reynolds,1997.0,5.0
1857027795,8.0,2,Diving Bell and the Butterfly,Jean Dominiqu Bauby,0.0,16.0
1857231791,5.0,1,Against a Dark Background,BANKS,1996.0,5.0
1857238982,8.0,1,Snow White and the Seven Samurai,Tom Holt,0.0,8.0
1857821173,8.0,1,"Secrets of \The Street\"": My Life as Ivy Tilsley""",Lynne Perrie,1995.0,8.0
185788292X,9.0,1,Survival Kit for Overseas Living: For Americans Planning to Live and Work Abroad,L. Robert Kohls,2001.0,9.0
1857931467,5.0,1,Dorien's Diary: My Intimate Confessions,Maurice Gran,1993.0,5.0
1857938011,6.0,1,A-Z of Behaving Badly,Simon Nye,1996.0,6.0
1857984986,8.0,1,The Stainless Steel Rat,Harry Harrison,1997.0,8.0
1857988027,9.0,1,The Hope (Gollancz SF S.),James Lovegrove,0.0,9.0
185799597X,9.0,1,A Guide to Happiness (Phoenix 60p Paperbacks),Epicurus,1995.0,9.0
1858282160,9.0,1,The Internet &amp; World Wide Web Version 2.0: The Rough Guide (2nd ed),Elaine Frisine,1996.0,9.0
1858285283,9.0,1,The Rough Guide to Jazz,Rough Guides,2000.0,9.0
1858285453,8.0,1,The Rough Guide to Andalucia (3rd Edition),Geoff Garvey,2000.0,8.0
1858286794,8.0,1,The Mini Rough Guide to Paris,Rough Guides,2001.0,8.0
1858286999,9.0,1,The Rough Guide to Japan (Rough Guide Japan),Jan Dodd,2001.0,9.0
185828869X,8.0,1,The Rough Guide to New York City,Martin Dunford,2002.0,8.0
1858600006,10.0,1,Only Planet of Choice: Insight from the Far Reaches of the Universe,Palden Jenkins,1993.0,10.0
185863864X,10.0,1,George: a 20th Century Miniature,D. Pethebridge,0.0,10.0
1858813093,7.0,1,Nessie: The Loch Ness Monster,Richard Brassey,2003.0,7.0
1859028519,9.0,1,Magpies: Short Stories from Wales,Robert Nisbet,2000.0,9.0
1859671039,10.0,1,The Decorated Garden Room: Interior Design for Your Outside Living Space,Tessa Evelegh,1996.0,10.0
1859671438,8.0,1,Tinwork (New Crafts),Marion Elliot,1996.0,8.0
1859671500,10.0,1,Glorious Country: Food Crafts Decorating,Liz Trigg,1995.0,10.0
1859674801,7.0,1,A Flash in the Pan: 100 Fast and Furious Recipes for Wok and Stir-Fry,Shirley Gill,1997.0,7.0
1859846815,9.0,1,Barbecued Husbands: And Other Stories from the Amazon,Betty Mindlin,2002.0,9.0
1860110886,8.0,1,Ireland,Catharina Day,1998.0,8.0
1860119190,9.0,1,London-Paris,Dana Facaros,1999.0,9.0
1860421016,9.0,1,More Cats in the Belfry,Doreen Tovey,1997.0,9.0
1860461670,8.0,5,Miss Smilla's Feeling for Snow,Peter Hoeg,2000.0,40.0
1860462588,8.0,2,Silk,Alessandro Baricco,1997.0,16.0
1860462995,8.0,2,The Swan: A Novel,Sebastiano Vassalli,1998.0,16.0
186046310X,10.0,1,Silk,Alessandro Baricco,1920.0,10.0
1860463312,7.0,2,Miss Smilla's Feeling for Snow,Peter Heg,1997.0,14.0
1860465382,9.0,1,Long John Silver: The True and Eventful History of My Life of Liberty and Adventure As a Gentleman of Fortune and Enemy to Mankind,Bjorn Larsson,2000.0,9.0
1860465536,4.333333333333333,3,Seville Communion,Arturo Perez-Reverte,1999.0,13.0
1860491235,8.0,1,Oyster,Janette Turner Hospital,1996.0,8.0
1860499627,6.666666666666667,3,Desert Dawn,Jeanne D'Haem,2003.0,20.0
1861590466,5.0,1,The Emerald Underground,Michael Collins,1998.0,5.0
1861591799,7.0,1,The Keepers of Truth,Michael Collins,2000.0,7.0
1861870612,10.0,1,Words on Strength and Perseverance (Helen Exley Giftbook),Helen Exley,1998.0,10.0
1862042055,9.0,1,Writing for Self-Discovery: A Personal Approach to Creative Writing,John Killick,1998.0,9.0
1862042497,8.0,1,Seven Steps to Developing Your Intuitive Powers: An Interactive Workbook,Betty Bethards,1998.0,8.0
1862044201,6.5,2,The Most Important Lessons in Life: Letters to a Young Girl,Rachel Chandler,1998.0,13.0
1862045143,9.0,1,Lillian Too's Little Book of Feng Shui,Lillian Too,1999.0,9.0
1862046271,7.0,1,New Perspectives: Meditation,David Fontana,2000.0,7.0
1863302875,7.0,1,Amnesty,Dee Mitchell,1993.0,7.0
1863305025,8.0,1,Homebush boy,Thomas Keneally,1995.0,8.0
1863305955,8.0,1,"Underground: Tales of hacking, madness, and obsession on the electronic frontier",Suelette Dreyfus,1997.0,8.0
1863738487,7.0,1,Crew,Tony McGowan,1995.0,7.0
1863739157,5.0,2,1988,Andrew McGahan,1995.0,10.0
1864484098,6.5,2,Antonio S and the Mystery of Theodore Guzman (Little Ark Book),Odo Hirsch,1997.0,13.0
1864501235,9.0,1,"Lonely Planet Madrid (Madrid, 1st ed)",Damien Simonis,2000.0,9.0
1864503157,8.0,1,"Lonely Planet Catalunya &amp; the Costa Brava (Catalunya and the Costa Brava, 1st ed)",Damien Simonis,2001.0,8.0
1865083348,8.0,2,The Shape of Snakes,Minette Walters,2001.0,16.0
186941358X,7.0,1,It Helps When You Take the Brake Off,Renee,1998.0,7.0
1869503368,9.0,1,Letters from the Fire,Alma A. Hromic,1999.0,9.0
1869928180,10.0,1,Visual Magick,Jan Fries,1991.0,10.0
1870041364,7.0,1,Witches' Rings,Kerstin Ekman,1997.0,7.0
1874166986,7.0,1,Introducing Cultural Studies (Foundations in Children's Ministry),Ziauddin Sardar,1998.0,7.0
1876825251,7.0,1,Golden girl: An autobiography,Betty Cuthbert,2000.0,7.0
1877727083,8.0,1,Vertical Poetry: Recent Poems,Roberto Juarroz,1992.0,8.0
1877741094,6.5,2,Zen in the Art of Writing: Essays on Creativity : Expanded,Ray Bradbury,1994.0,13.0
1877856916,8.0,1,Exploring National Parks,Mary Maruca,1998.0,8.0
1877988235,5.0,1,"Don't Go to the Cosmetics Counter Without Me: An Eye-Opening Guide to Brand-Name Cosmetics (Don't Go to the Cosmetic Counter Without Me, 4th ed)",Paula Begoun,1998.0,5.0
1878067125,6.0,1,Disappearing Moon Cafe,Sky Lee,1992.0,6.0
1878067990,8.0,1,Nowle's Passing: A Novel,Edith Forbes,1997.0,8.0
1878379992,9.0,1,Watching the Wind: Conflict Resolution During South Africa's Transition to Democracy,Susan Collin Marks,2000.0,9.0
1878424084,8.0,1,The 12 Stages of Healing: A Network Approach to Wholeness,Donald M. Epstein,1994.0,8.0
1878424114,7.333333333333333,9,The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams (based on Creating Affluence),Deepak Chopra,1995.0,66.0
1878424319,8.375,16,The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1997.0,134.0
1878424424,7.6,5,The Mastery of Love: A Practical Guide to the Art of Relationship: A Toltec Wisdom Book,Miguel Ruiz,1999.0,38.0
1878424483,5.0,3,The Four Agreements Companion Book : Using the Four Agreements to Master the Dream of Your Life,Miguel Ruiz,2000.0,15.0
1878448021,10.0,1,Worship of the Common Heart: New and Selected Stories,Patricia Henley,2000.0,10.0
1878448900,8.5,6,Girl in Hyacinth Blue,Susan Vreeland,1999.0,51.0
1878605003,5.0,1,War on Debt: Breaking the Power of Debt (Financial Freedom),John Avanzini,1990.0,5.0
1878825011,7.5,2,What Uncle Sam Really Wants (The Real Story Series),Noam Chomsky,2002.0,15.0
1879237741,9.0,1,Living Without Depression and Manic Depression: A Workbook for Maintaining Mood Stability (New Harbinger Workbooks),Mary Ellen Copeland,1994.0,9.0
1879384493,10.0,1,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003.0,10.0
1879402297,10.0,1,The Qur'an Translation,Abdullah Yusuf Ali,1999.0,10.0
187963905X,10.0,1,Reclaiming Youth at Risk: Our Hope for the Future,Larry K. Brendtro,1990.0,10.0
1879682737,9.0,2,Uncle John's Absolutely Absorbing Bathroom Reader (Uncle John's Bathroom Reader #12),Bathroom Readers' Institute,1999.0,18.0
1879941201,5.0,1,The Women on the Porch (Southern Classics Series),Caroline Gordon,2000.0,5.0
1880032074,8.5,2,Native Heart: An American Indian Odyssey,Gabriel Horn,1993.0,17.0
1880032627,8.333333333333334,3,Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,Shakti Gawain,1995.0,25.0
1880089858,10.0,1,"Woman, Thou Art Loosed: Healing the Wounds of the Past",T. D. Jakes,1994.0,10.0
1880185008,5.0,1,"Serving As Senders: How to Care for Your Missionaries While They Are Preparing to Go, While They Are on the Field, When They Return Home",Neal Pirolo,1991.0,5.0
1880399679,8.0,1,Ibsen: Four Major Plays (Great Translations for Actors),Henrik Ibsen,1995.0,8.0
1880656655,6.0,1,Ash,Holly Thompson,2001.0,6.0
1880823233,10.0,1,Dear Cara : Letters From Otto Frank; Anne's Father Shares His Wisdom,Cara Wilson,2000.0,10.0
188090845X,10.0,2,Out of the Past: Amish Tradition and Faith,Mary Ann McDonald,1998.0,20.0
1880985020,7.0,1,High Adventure in the Great Outdoors,Rollins,1990.0,7.0
1881273628,6.5,2,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary D. Chapman,1996.0,13.0
1881320189,7.0,1,Goodbye to the Buttermilk Sky,Julia Oliver,1994.0,7.0
1881471578,5.0,1,Spiritland,Nava Renek,2002.0,5.0
1882114981,9.0,1,"Free Software, Free Society: Selected Essays of Richard M. Stallman",Richard M. Stallman,2002.0,9.0
1882180887,7.0,1,A Basic Guide to Archery (An Official U.S. Olympic Committee Sports Series),U.S. Olympic Committee,1997.0,7.0
1882591275,5.0,1,Write from the Heart: Unleashing the Power of Your Creativity,Hal Zina Bennett,1995.0,5.0
188259312X,7.666666666666667,3,Patty Janes House of Curl,Lorna Landvik,1995.0,23.0
1882606256,8.0,1,Tai Chi Made Easy: A Step-By-Step Guide to Health and Relaxation,Robert Parry,1997.0,8.0
1882723007,8.2,5,Embraced by the Light,Betty J. Eadie,1992.0,41.0
1883013453,9.0,1,The Diana Years,People Magazine,1997.0,9.0
1883013852,5.0,1,People Yearbook: Pop Culture Review,People Magazine,2000.0,5.0
1883013860,5.0,1,Entertainment Weekly Yearbook 2000,Entertainment Weekly,2000.0,5.0
1883061318,7.0,1,One Summer Night,Gerri Hill,2000.0,7.0
1883642434,8.0,1,My Home Is Far Away,DAWN POWELL,1998.0,8.0
1883672902,8.0,1,The Diary of Chickabiddy Baby,Emma Kallok,1999.0,8.0
1883991145,8.0,1,Song of Survival: Women Interned,Helen Coljin,1997.0,8.0
1884777805,8.0,1,Elements of Programming With Perl,Andrew L. Johnson,1999.0,8.0
1884800394,5.0,1,Centuries: Prose Poems,Joel Brouwer,2003.0,5.0
1884820298,6.0,1,The A.D.D. and A.D.H.D. Diet! Updated: A Comprehensive Look at Contributing Factors and Natural Treatments for Symptoms of Attention Deficit Disorder and Hyperactivity,Rachel Bell,2001.0,6.0
1884910394,7.5,2,Fiction Writer's Workshop,Josip Novakovich,1998.0,15.0
1885027060,8.0,1,Geezerhood: What to expect from life now that you're as old as dirt,Wayne Allred,1996.0,8.0
1885171013,7.0,1,"Soulwork: Clearing the Mind, Opening the Heart, and Replenishing the Spirit",Bettyclare Moffatt,1994.0,7.0
1885171080,7.8,5,"Girlfriends: Invisible Bonds, Enduring Ties",Carmen Renee Berry,1995.0,39.0
1885173997,9.5,2,Realty Check,Piers Anthony,2001.0,19.0
1885211279,7.833333333333333,6,There's No Toilet Paper on the Road Less Traveled: The Best of Travel Humor and Misadventure (Travelers' Tales Guides),Doug Lansky,1998.0,47.0
188521135X,9.0,1,Hawaii: True Stories of the Island Spirit (Travelers' Tales Guides),Rick Carroll,1999.0,9.0
1885404123,10.0,1,Gayellow Pages : Southern/Southern Midwest 1998,Frances Green,1998.0,10.0
1885593155,9.0,1,Boredom Busters!: The Curious Kids' Activity Book (Williamson Kids Can! Series),Avery Hart,1997.0,9.0
1885840047,8.0,1,"Divinely Decadent: Liza Minnelli, the Drugs, the Sex &amp; the Truth Behind Her Bizarre Marriage",Sarah Gallick,2003.0,8.0
1885983212,7.5,2,Hotel Sarajevo,Jack Kersh,1997.0,15.0
1886039224,6.0,1,Prescription Drug Abuse: The Hidden Epidemic : A Guide to Coping and Understanding,Rod Colvin,1995.0,6.0
1886383421,4.0,1,Fires of Aggar,Chris Anne Wolfe,2001.0,4.0
1886941343,10.0,1,What Does Everybody Else Know That I Don'T?: Social Skills Help for Adults With Attention Deficit/Hyperactivity Disorder (Ad/Hd) a Reader-Friendly Guide,Michele Novotni,1999.0,10.0
1887128654,5.0,1,Why Things Burn: Poems,Daphne Gottlieb,2001.0,5.0
188712876X,8.2,5,Get Your War On,David Rees,2002.0,41.0
1887166009,7.0,1,Pandemonium: Or Life With Kids: A Collection of Parental Humor,Hysteria Magazine,1997.0,7.0
1887166734,8.0,2,"The Quotable Cat: A Collection of Quotes, Facts, and Lore for Feline Fanciers",C. E. Crimmins,2000.0,16.0
1887368566,8.0,1,Right to Life: And 2 Stories,Jack Ketchum,2002.0,8.0
1887424059,8.0,1,Women With Attention Deficit Disorder: Embracing Disorganization at Home and in the Workplace,Sari Solden,1995.0,8.0
1887424520,7.0,1,"Thom Hartmann's Complete Guide to ADHD: Help for Your Family at Home, School and Work",Thom Hartmann,2000.0,7.0
1888043040,5.0,1,Working on Yourself Doesn't Work: A Book About Instantaneous Transformation,Ariel Kane,1999.0,5.0
1888054069,10.0,1,Alphonse Mucha: An American Collection (Vignettes),Don Kurtz,1997.0,10.0
1888054557,10.0,7,Postmarked Yesteryear: 30 Rare Holiday Postcards,Pamela E. Apkarian-Russell,2001.0,70.0
1888363363,8.0,1,Bloodchild: And Other Stories,Octavia E. Butler,1996.0,8.0
1888363576,6.5,2,Grand Central Winter: Stories from the Street,Lee Stringer,1998.0,13.0
1888363819,8.0,1,Parable of the Talents,Octavia E. Butler,1998.0,8.0
1888375051,8.0,1,A Pebble for Your Pocket,Thich Nhat Hanh,2002.0,8.0
1888451084,7.0,1,Kamikaze Lust,Lauren Sanders,2000.0,7.0
188845136X,9.0,2,Some of the Parts,T Cooper,2002.0,18.0
1888604182,3.0,1,Seeking Wholeness: Insight into the Mystery of Experience,Roland Evans,2001.0,3.0
1888608285,6.0,1,"Alabama Gardener's Guide The What, Where, When, How &amp; Why Of Gardening In Alabama",Jennifer Greer,2001.0,6.0
1888608501,5.0,1,Missouri Gardener's Guide,Michael Miller,2001.0,5.0
1888740051,8.0,1,"Climbing Mt. Shasta: Route 1, Avalanche Gulch",Steve Lewis,1996.0,8.0
1889199036,5.0,1,Styles by Maggie Sweet,Judith Minthorn Stacy,1999.0,5.0
1889209023,10.0,1,A Charlotte Mason Companion: Personal Reflections on the Gentle Art of Learning,Karen Andreola,1998.0,10.0
1889295000,5.0,1,Monsters from the Id (Brainstorm),Anthony L Abraham,1996.0,5.0
1889392022,8.333333333333334,3,Bridal Bargains: Secrets to Throwing a Fantastic Wedding on a Realistic Budget (Bridal Bargains: Secrets to Throwing a Fantastic Wedding on a Realistic Budget),Denise Fields,1998.0,25.0
1889461024,10.0,1,The Last Word: Tombstone Wit and Wisdom,Nicola Gillies,1997.0,10.0
